GZ1,Acquired data,1,5
RI,LALS,RALS,DP,IP
-0.328946107222388,189.077163696289062,192.146631876627595,9.977016448974609,42.283098856608071
-0.327124761107067,189.075429280598968,192.146494547526032,9.974536259969076,42.283304850260414
-0.325370629007618,189.073089599609375,192.146362304687500,9.970269838968912,42.283303578694664
-0.326283467002213,189.070699055989593,192.146163940429688,9.968576749165853,42.282891591389976
-0.327762449781100,189.068257649739593,192.145929972330720,9.969072977701822,42.282745361328125
-0.326774436049163,189.065160115559905,192.145060221354157,9.968826611836752,42.283392588297524
-0.325653722509742,189.061462402343750,192.142796834309905,9.963933308919271,42.284328460693359
-0.322299166116863,189.058827718098968,192.140492757161468,9.961599985758463,42.284924825032554
-0.319312092072020,189.056396484375000,192.138427734375000,9.964136123657227,42.285185496012367
-0.316457449691370,189.053858439127595,192.136296590169280,9.964929580688477,42.285354614257812
-0.316236984877226,189.051630655924470,192.134526570638030,9.963332811991373,42.285578409830727
-0.315682594974836,189.051193237304688,192.134160359700530,9.960929870605469,42.285919189453125
-0.316295164676073,189.050928751627595,192.133997599283845,9.959109624226889,42.286238352457680
-0.316807121736929,189.050664265950530,192.133931477864593,9.957303047180176,42.286616007486977
-0.313786847982556,189.050425211588532,192.133834838867188,9.958063443501791,42.287144978841148
-0.312665637582541,189.050257364908845,192.133763631184905,9.960502942403158,42.287629445393883
-0.313278207555413,189.050130208333343,192.133666992187500,9.961559931437174,42.287752787272133
-0.314657074399292,189.050130208333343,192.133595784505218,9.958033243815104,42.287512461344399
-0.317669416467349,189.050130208333343,192.133494059244782,9.957609494527182,42.287158966064453
-0.318115252070129,189.050033569335938,192.133295694986970,9.959966341654459,42.287136077880859
-0.318494032447537,189.049830118815095,192.133092244466155,9.965403238932291,42.287156422932945
-0.320473535296818,189.049631754557282,192.132827758789062,9.970452944437662,42.286801656087242
-0.324019150303987,189.049326578776032,192.132532755533845,9.974243164062500,42.286237080891929
-0.324864893375585,189.048995971679688,192.132197062174470,9.974869728088379,42.286280314127602
-0.323077541620781,189.048665364583343,192.132024129231780,9.973496437072754,42.286881764729820
-0.320123230417569,189.048360188802093,192.131927490234375,9.975346247355143,42.287455240885414
-0.317968872996668,189.048126220703125,192.131861368815095,9.977663040161133,42.287578582763672
-0.317681174104412,189.047963460286468,192.131795247395843,9.974276542663574,42.287467956542969
-0.317726973133783,189.047826131184905,192.131790161132812,9.973429997762045,42.287419637044273
-0.317772424469392,189.047826131184905,192.131790161132812,9.971753120422363,42.287492116292320
-0.318452089093626,189.047826131184905,192.131729125976562,9.973416328430176,42.287656148274742
-0.315064630781611,189.047790527343750,192.131627400716155,9.977743148803711,42.287802378336586
-0.310943320393562,189.047927856445312,192.131591796875000,9.980726559956869,42.288057963053383
-0.308289098242919,189.047993977864593,192.131459554036468,9.984043121337891,42.288458506266274
-0.307034850741426,189.048029581705720,192.131362915039062,9.984553019205729,42.288705190022789
-0.305813981841008,189.048095703125000,192.131296793619782,9.982869466145834,42.288659413655601
-0.304059869299332,189.048161824544280,192.131327311197907,9.983179410298666,42.288382212320961
-0.303805082415541,189.048161824544280,192.131296793619782,9.985456148783365,42.288294474283852
-0.302118204534054,189.048161824544280,192.131266276041657,9.985322952270508,42.288556416829429
-0.302563562989235,189.048227945963532,192.131261189778655,9.981779734293619,42.288602193196617
-0.301909176011880,189.048360188802093,192.131261189778655,9.976616541544596,42.288248697916664
-0.300788462782900,189.048467000325530,192.131296793619782,9.977826436360678,42.288046518961586
-0.298334016154210,189.048497517903655,192.131327311197907,9.980206171671549,42.288528442382812
-0.296046938747168,189.048599243164062,192.131429036458343,9.979469935099283,42.289338429768883
-0.294225433220466,189.048695882161468,192.131530761718750,9.980456670125326,42.289892832438149
-0.293404631316662,189.048726399739593,192.131566365559905,9.976490020751953,42.289997100830078
-0.291517153382301,189.048762003580720,192.131663004557282,9.973829905192057,42.290016174316406
-0.291962849597136,189.048828125000000,192.131764729817718,9.977392832438150,42.290191650390625
-0.292675713698069,189.048894246419280,192.131861368815095,9.979109446207682,42.290411631266274
-0.292387876659632,189.048990885416657,192.131958007812500,9.979372978210449,42.290696461995445
-0.288100467373927,189.049128214518220,192.132125854492188,9.975683530171713,42.291009267171226
-0.289212603121996,189.049331665039062,192.132298787434905,9.973693211873373,42.291556040445961
-0.288825266063213,189.049433390299470,192.132431030273438,9.976332982381185,42.292092641194664
-0.288737520575523,189.049524943033845,192.132593790690095,9.977986335754395,42.292296091715492
-0.289883034924666,189.049565633138030,192.132893880208343,9.977946599324545,42.292015075683594
-0.291262378295263,189.049463907877595,192.133092244466155,9.975709915161133,42.291559855143227
-0.294274721294641,189.049428304036468,192.133229573567718,9.974316279093424,42.291445414225258
-0.294687197854122,189.049428304036468,192.133433024088532,9.973809560139975,42.291451772054039
-0.295732735345761,189.049458821614593,192.133626302083343,9.969806671142578,42.291069030761719
-0.296245329082012,189.049499511718750,192.133763631184905,9.971296310424805,42.290431976318359
-0.298157935341199,189.049530029296875,192.133829752604157,9.975976626078287,42.290349324544273
-0.296603438754876,189.049565633138030,192.133931477864593,9.976909637451172,42.290958404541016
-0.295382410287857,189.049596150716155,192.134063720703125,9.979713122049967,42.291611989339195
-0.291961594174306,189.049560546875000,192.133992513020843,9.985563278198242,42.291885375976562
-0.289340889702241,189.049524943033845,192.133860270182282,9.988682746887207,42.291821797688804
-0.289119977504015,189.049494425455720,192.133728027343750,9.992483139038086,42.291811625162758
-0.288465749472380,189.049428304036468,192.133595784505218,9.994526545206705,42.291945139567055
-0.286611641446749,189.049362182617188,192.133499145507812,9.996289889017740,42.292091369628906
-0.285157141586145,189.049290974934905,192.133463541666657,9.995336214701334,42.292308807373047
-0.284336179494858,189.049123128255218,192.133427937825530,9.996836026509603,42.292662302652992
-0.284381949653228,189.049092610677093,192.133661905924470,10.003232955932617,42.293155670166016
-0.282161172479391,189.049357096354157,192.134760538736970,10.005759557088217,42.293478647867836
-0.282540250569582,189.049825032552093,192.135965983072907,10.005776405334473,42.293429056803383
-0.283252657701572,189.050262451171875,192.137196858723968,10.004086494445801,42.293090820312500
-0.287165110309919,189.050827026367188,192.138361612955720,10.001783053080240,42.293005625406899
-0.287977156539758,189.051396687825530,192.139394124348968,10.004089673360189,42.293174743652344
